SrNo,NIMS_ID,k,tigerid,OPERATI+E:MONAL_CUSTOMER_REPC,REPC_SERVICE_ABBR,CIRCUIT_ISSUE_DATE,,pending_with,reason_of_pending,CRFS date,Config date,Pending,Assigned,testing date,TAT for testing
2558,JBFX-LAAX 30N109,Cancel,806538,443 - SPRINT COMMUNICATIONS COMPANY L.P.,VTSPREM,29-11-2015 08:18:16,RCHAKRAD,,,,,Complete,Swapnali,,
2559,JBFX-LAAX 30N114,Cancel,806538,443 - SPRINT COMMUNICATIONS COMPANY L.P.,VTSPREM,29-11-2015 08:18:31,RCHAKRAD,,,,,Complete,Swapnali,,
2560,JBFX-LAAX 30N113,Cancel,806538,443 - SPRINT COMMUNICATIONS COMPANY L.P.,VTSPREM,29-11-2015 08:18:37,RCHAKRAD,,,,,Complete,Swapnali,,
2561,AQ9X-IM6X 10M001,Cancel,806903,28977 - BLOOMBERG DATA SERVICES INDIA PVT LTD,GLOBETH,30-11-2015 06:39:57,AKARMUR,,,,,Complete,Amol,,
2562,W1UX-YW1X 10M001,Cancel,806901,28977 - BLOOMBERG DATA SERVICES INDIA PVT LTD,GLOBETH,30-11-2015 06:59:40,AKARMUR,,,,,Complete,Amol,,
2563,DF8X-W1UX 100M0001,Cancel,806868,28977 - BLOOMBERG DATA SERVICES INDIA PVT LTD,GLOBETH,30-11-2015 07:17:21,AKARMUR,,,,,Complete,Amol,,
2564,H99X-H99X SPVLAN0027,Provide,806084,29910 - AXA TECHNOLOGY SERVICES,GLOBETH,30-11-2015 12:35:34,YSOMI,,,,,Complete,Amol,,
2565,ER7X-GK6X 16V4C001,Provide,806221,616 - TELEKOM MALAYSIA BERHAD,GSM,01-12-2015 06:20:46,BHUSHPAT,,,,3 Dec 15,Complete,Rahul,,
2566,PYEX-WYNX 1561.83NM001,Provide,806311,20399 - TATA COMMUNICATIONS (US) INC.,*N/A*,01-12-2015 07:46:33,AVIPATIL,OPS,Testing Pending,,3 Dec 15,Complete,Rahul,,
2567,8VZX-P44X SPVLAN0012,Cancel,806577,27048 - VERIZON COMMUNICATIONS INDIA PVT LTD,GLOBETH,01-12-2015 08:05:52,YSOMI,PM,,30 Dec 99,,Complete,Shashank,,
