order_id,1,2,3,process_type,5,plan_released_by,7,task_name,9,10,order_issued_date,11,12,13
NCCM_29607,12-06-2014 21:53,NORMAL,IN PROGRESS,BTNCCM,5,santpati,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,07-03-2015 16:52,,,
NCCM_35969,23-12-2014 18:58,NORMAL,IN PROGRESS,BTNCCM,5,santpati,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,07-03-2015 17:48,,,
NCCM_38522,08-03-2015 16:03,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,08-03-2015 16:07,,,
NCCM_38622,10-03-2015 18:06,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,10-03-2015 18:10,,,
NCCM_38638,11-03-2015 16:06,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,11-03-2015 16:10,,,
NCCM_38695,12-03-2015 15:29,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,12-03-2015 15:33,,,
NCCM_38696,12-03-2015 15:31,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,12-03-2015 15:50,,,
NCCM_38722,13-03-2015 16:51,NORMAL,IN PROGRESS,BTNCCM,5,SupriKat,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,13-03-2015 16:54,,,
NCCM_38775,16-03-2015 19:23,NORMAL,IN PROGRESS,BTNCCM,5,hemant.pawar,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,16-03-2015 19:36,,,
NCCM_38793,17-03-2015 19:03,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,17-03-2015 19:11,,,
NCCM_38826,18-03-2015 15:39,NORMAL,IN PROGRESS,BTNCCM,5,sadvitot,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,18-03-2015 19:06,,,
NCCM_38911,19-03-2015 18:12,NORMAL,IN PROGRESS,BTNCCM,5,SupriKat,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,19-03-2015 18:15,,,
NCCM_38912,19-03-2015 22:39,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,19-03-2015 22:42,,,
NCCM_38978,20-03-2015 19:24,NORMAL,IN PROGRESS,BTNCCM,5,SupriKat,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,20-03-2015 19:27,,,
NCCM_38985,22-03-2015 16:21,NORMAL,IN PROGRESS,BTNCCM,5,sadvitot,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,22-03-2015 16:28,,,
NCCM_39014,23-03-2015 15:31,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,23-03-2015 15:35,,,
