tiger_id,viznetM6id,gam_id,mrc_converted,nrc_converted,program_manager,evolve_status,customer_name,provisioner_name,service_type,inbasket_date
787486,,787486,,,,,20399 - TATA COMMUNICATIONS (US) INC.,ASHANDHA,*N/A*,09-12-2015 10:09:05
798448,,798448,,,,,20399 - TATA COMMUNICATIONS (US) INC.,ASHANDHA,*N/A*,16-03-2016 14:53:35
819961,,819961,,,,,20399 - TATA COMMUNICATIONS (US) INC.,KKHADE,*N/A*,23-03-2016 15:54:42
816821,,816821,,,,,7038 - RELIANCE GLOBALCOM LIMITED ,PRATPAND,GSM,29-02-2016 08:36:03
788708,,788708,,,,,7038 - RELIANCE GLOBALCOM LIMITED ,BHUSHPAT,DARKIRU,30-12-2015 12:08:24
788708,,788708,,,,,7038 - RELIANCE GLOBALCOM LIMITED ,BHUSHPAT,DARKIRU,30-12-2015 12:07:39
816821,,816821,,,,,7038 - RELIANCE GLOBALCOM LIMITED ,PRATPAND,GSM,29-02-2016 09:31:08
816821,,816821,,,,,7038 - RELIANCE GLOBALCOM LIMITED ,PRATPAND,GSM,29-02-2016 08:36:48
816821,,816821,,,,,7038 - RELIANCE GLOBALCOM LIMITED ,PRATPAND,GSM,29-02-2016 09:21:39
816821,,816821,,,,,7038 - RELIANCE GLOBALCOM LIMITED ,PRATPAND,GSM,29-02-2016 09:37:38
806640,,806640,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,KKHADE,GSM,23-12-2015 14:39:34
807396,,807396,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,AKARMUR,GSM,04-02-2016 11:01:00
796519,,796519,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,ASATPUTE,GSM,25-03-2016 12:22:56
806712,,806712,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,KEDA,GSM,16-02-2016 01:22:25
806736,,806736,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,PRATPAND,GSM,04-01-2016 13:09:53
796465,,796465,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,SUDSHIND,GSM,22-02-2016 09:57:12
796514,,796514,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,ASATPUTE,GSM,26-03-2016 07:01:10
796483,,796483,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,SUDSHIND,GSM,19-02-2016 13:52:59
796475,,796475,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,SUDSHIND,GSM,19-02-2016 14:23:22
796501,,796501,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,SANDEEPJ,GSM,23-03-2016 11:00:46
758388,,758388,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,YMANVE,GSM,15-05-2015 13:19:13
796515,,796515,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,ASATPUTE,GSM,26-03-2016 05:56:22
796517,,796517,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,ASATPUTE,GSM,25-03-2016 17:10:55
806726,,806726,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,KKHADE,GSM,31-12-2015 10:50:00
806725,,806725,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,KKHADE,GSM,31-12-2015 10:22:13
796518,,796518,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,ASATPUTE,GSM,25-03-2016 16:48:52
796518,,796518,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,ASATPUTE,GSM,25-03-2016 16:48:35
796520,,796520,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,ASATPUTE,GSM,25-03-2016 11:05:05
806615,,806615,,,,,22839 - GOOGLE INFRASTRUCTURE BERMUDA LIMITED,KKHADE,GSM,28-12-2015 07:59:54
790374,,790374,,,,,25225 - THE TRAVELERS INDEMNITY COMPANY,RNISTANE,GSM,25-07-2015 04:57:20
728417,,728417,,,,,25300 - TALKTALK TELECOM LIMITED,MNIBRAD,GSM,09-09-2015 10:41:45
807230,,807230,,,,,25736 - GENPACT INDIA,PMORASAK,ENTCCP,08-03-2016 09:13:32
807230,,807230,,,,,25736 - GENPACT INDIA,PMORASAK,ENTCCP,24-02-2016 14:57:08
807230,,807230,,,,,25736 - GENPACT INDIA,PMORASAK,ENTCCP,08-03-2016 09:13:51
814255,,814255,,,,,25736 - GENPACT INDIA,PMORASAK,VTS,03-03-2016 07:20:55
807230,,807230,,,,,25736 - GENPACT INDIA,PMORASAK,ENTCCP,08-03-2016 09:14:02
800000,,800000,,,,,13110 - MAXIS INTERNATIONAL SDN BHD,ANVERMA,VTS,07-12-2015 06:22:49
800000,,800000,,,,,13110 - MAXIS INTERNATIONAL SDN BHD,ANVERMA,VTS,07-12-2015 06:22:45
791589,,791589,,,,,13110 - MAXIS INTERNATIONAL SDN BHD,ANVERMA,SCCP,28-10-2015 06:39:11
800000,,800000,,,,,13110 - MAXIS INTERNATIONAL SDN BHD,ANVERMA,VTS,07-12-2015 06:34:36
798408,,798408,,,,,11776 - PT TELEKOMUNIKASI SELULAR (TELKOMSEL),ANVERMA,VTS,05-12-2015 11:13:27
798408,,798408,,,,,11776 - PT TELEKOMUNIKASI SELULAR (TELKOMSEL),ANVERMA,VTS,05-12-2015 11:00:23
798412,,798412,,,,,11776 - PT TELEKOMUNIKASI SELULAR (TELKOMSEL),ANVERMA,SCCP,05-12-2015 10:07:23
798408,,798408,,,,,11776 - PT TELEKOMUNIKASI SELULAR (TELKOMSEL),ANVERMA,VTS,05-12-2015 10:49:41
798412,,798412,,,,,11776 - PT TELEKOMUNIKASI SELULAR (TELKOMSEL),ANVERMA,SCCP,05-12-2015 10:44:14
694088,,694088,,,,,26211 - TATA - BB IP4755,SMAHAMUN,*N/A*,02-09-2013 15:18:31
816842,,816842,,,,,"23694 - AKAMAI TECHNOLOGIES, INC.",MNIBRAD,INET,05-03-2016 11:05:10
799587,,799587,,,,,10234 - GLOBE TELECOM INC.,AKARMUR,IRU,04-02-2016 06:44:47
799586,,799586,,,,,10234 - GLOBE TELECOM INC.,AKARMUR,IRU,11-02-2016 06:52:13
799423,,799423,,,,,10234 - GLOBE TELECOM INC.,AKARMUR,IRU,10-02-2016 10:12:42
819324,,819324,,,,,23450 - AMADEUS DATA PROCESSING GMBH  ,YSOMI,GLOBETH,16-03-2016 11:33:39
819322,,819322,,,,,23450 - AMADEUS DATA PROCESSING GMBH  ,YSOMI,GLOBETH,16-03-2016 10:51:05
819163,,819163,,,,,25680 - GOOGLE INC,SUDSHIND,GSM,16-03-2016 08:41:19
818461,,818461,,,,,24107 - JOHN KEELLS BPO SOLUTIONS INDIA PRIVATE LI,AMRITJAD,ENTVTS,08-03-2016 13:58:15
818461,,818461,,,,,24107 - JOHN KEELLS BPO SOLUTIONS INDIA PRIVATE LI,AMRITJAD,ENTVTS,08-03-2016 14:00:11
818461,,818461,,,,,24107 - JOHN KEELLS BPO SOLUTIONS INDIA PRIVATE LI,AMRITJAD,ENTVTS,09-03-2016 10:11:13
818461,,818461,,,,,24107 - JOHN KEELLS BPO SOLUTIONS INDIA PRIVATE LI,AMRITJAD,ENTVTS,15-03-2016 09:20:30
818461,,818461,,,,,24107 - JOHN KEELLS BPO SOLUTIONS INDIA PRIVATE LI,AMRITJAD,ENTVTS,09-03-2016 10:06:17
818461,,818461,,,,,24107 - JOHN KEELLS BPO SOLUTIONS INDIA PRIVATE LI,AMRITJAD,ENTVTS,09-03-2016 10:07:45
818461,,818461,,,,,24107 - JOHN KEELLS BPO SOLUTIONS INDIA PRIVATE LI,AMRITJAD,ENTVTS,09-03-2016 10:07:10
804130,,804130,,,,,20494 - PT TELEKOMUNIKASI INDONESIA INTERNATIONAL,ROVARADE,VTSPREM,27-01-2016 13:36:52
804130,,804130,,,,,20494 - PT TELEKOMUNIKASI INDONESIA INTERNATIONAL,ROVARADE,VTSPREM,27-01-2016 13:36:43
804130,,804130,,,,,20494 - PT TELEKOMUNIKASI INDONESIA INTERNATIONAL,ROVARADE,VTSPREM,27-01-2016 13:34:35
816598,,816598,,,,,24048 - Jaguar Land Rover Limited,NTHENGAD,GSM,16-03-2016 06:54:09
786233,,786233,,,,,10182 - GLOBAL CROSSING,PMORASAK,VTS,06-11-2015 09:53:45
813028,,813028,,,,,23536 - MAKE MY TRIP INC,PMORASAK,ENTVTS,25-01-2016 14:27:25
813028,,813028,,,,,23536 - MAKE MY TRIP INC,PMORASAK,ENTVTS,25-01-2016 14:27:34
