SrNo,nims_id,CRAMMER_NAME,circuit_action_type,tiger_id,customer_name,service_type,VIZNET_ID_,provisioner_name,order_issued_date
76,IM6X-L78X 1650ISID5030,LNDN/L78X/TGBUK/GBR*MUMB/IM6X/VSNLI/IND ISID0075,Cancel,802412,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,03-12-2015 11:08:37
77,HDBX-IM6X BVID0701B2,HYBD/HDBX/VSNL/IND*MUMB/IM6X/VSNLI/IND BVID0035,Provide,735847,25700 - TATA - BB ETHERNET.,*N/A*,,AKARMUR,31-05-2014 07:33:19
78,CT8X-L10X VC3S004,CHIG/CT8X/TGBUS/USA*LOSA/L10X/TGBUS/USA VC3S0004,Cancel,819367,25700 - TATA - BB ETHERNET.,*N/A*,,KKHADE,22-03-2016 13:15:28
79,CT8X-L10X VC3S011,CHIG/CT8X/TGBUS/USA*LOSA/L10X/TGBUS/USA VC3S0011,Cancel,819367,25700 - TATA - BB ETHERNET.,*N/A*,,KKHADE,22-03-2016 13:15:13
80,H99X-SVWX 0810ISID10000029,HNKG/H99X/SANCH/CHN*SING/SVWX/VSNLS/SGP ISID0049,Provide,799271,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,11-12-2015 13:35:46
81,CT8X-L10X VC4S0001,CHIG/CT8X/TGBUS/USA*LOSA/L10X/TGBUS/USA VC4S0001,Cancel,819367,25700 - TATA - BB ETHERNET.,*N/A*,,KKHADE,22-03-2016 13:14:40
82,H99X-H99X 1G067,HNKG/H99X/SANCH/CHN*HNKG/H99X/SANCH/CHN 1G0067,Provide,799273,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,14-12-2015 14:01:09
83,SV1X-SV1X BE1003,SNCL/SV1X/TGBUS/USA*SNCL/SV1X/TGBUS/USA LAG0002,Reroute,812980,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,28-01-2016 07:59:43
84,H99X-SVWX 0810ISID14000008,HNKG/H99X/SANCH/CHN*SING/SVWX/VSNLS/SGP ISID0051,Provide,799274,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,16-12-2015 08:19:45
85,H99X-IH4X CEVLAN002,HNKG/H99X/SANCH/CHN*SING/IH4X/VSNLS/SGP CEVLAN0002,Provide,791632,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,10-12-2015 08:13:34
86,N0VX-NW8X BVID0500,NYKC/N0VX/TGBUS/USA*NYKC/NW8X/TGBUS/USA BVID0005,Provide,798510,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,24-11-2015 12:35:10
87,L78X-L78X BE0096,LNDN/L78X/TGBUK/GBR*LNDN/L78X/TGBUK/GBR LAG0011,Provide,817594,25700 - TATA - BB ETHERNET.,*N/A*,,ASHANDHA,22-03-2016 08:38:44
88,27GX-799X SPVLAN0001,CADR/799X/BIRLA/USA*LOSA/27GX/TGBUS/USA SPVLAN0001,Provide,810548,25840 - BIRLASOFT (INDIA) LIMITED,GSM,,RNISTANE,15-03-2016 14:23:35
89,PYEX-W1UX 0500ISID5006,MUMB/W1UX/SANCH/IND*PARS/PYEX/TGFCE/FCE ISID0013,Provide,808885,25862 - CHINA TELECOM GLOBAL LIMITED,GLOBETH,,YSOMI,21-12-2015 13:51:52
90,W1UX-W3IX 1G004,MUMB/W1UX/SANCH/IND*MUMB/W3IX/VSNL/IND 1G0004,Reroute,654946,25914 - TELSTRA CORPORATION LIMITED,GLOBETH,IOR_4272,KAVISRIN,29-08-2012 07:02:06
91,EGCX-WOIX NP9,MARS/EGCX/WEIND/FCE*MARS/WOIX/WEIND/FCE NP0009,Reroute,814623,27759 - WEST INDIAN OCEAN CABLE COMPANY (WIOCC),GSM,,ASATPUTE,09-02-2016 10:19:42
92,WOIX-WYNX 4V4C002,MARS/WOIX/WEIND/FCE*MARS/WYNX/TGFCE/FCE 4V4C0002,Provide,814623,27759 - WEST INDIAN OCEAN CABLE COMPANY (WIOCC),GSM,,ASATPUTE,09-02-2016 10:19:01
93,P44X-XYLX 100M0001,PUNE/P44X/SANCH/IND*PUNE/XYLX/MASCO/IND 100M0001,Provide,815202,24470 - MASERGY COMMUNICATIONS INC.,GLOBETH,,YSOMI,22-03-2016 14:46:22
94,F4FX-N99X SPVLAN0001,3FDX/F4FX/OPASF/USA*NYKC/N99X/SANCH/USA SPVLAN0001,Reroute,818068,26869 - TATA CONSULTANCY SERVICES LIMITED,GSM,,MNIBRAD,10-03-2016 07:13:44
95,OI0X-S01X SPVLAN0001,PRTH/OI0X/OPASF/AUS*SYDN/S01X/SANCH/AUS SPVLAN0001,Reroute,815711,26869 - TATA CONSULTANCY SERVICES LIMITED,GSM,,BMORE,23-02-2016 14:20:02
96,42SX-JSOX 30N0001,JHBG/42SX/SPRIT/ZAF*JHBG/JSOX/SNOTE/ZAF 30N0001,Reroute,675827,26152 - SPRINTLINK UK LIMITED,GSM,,RBHARGAV,17-07-2013 11:45:23
97,MTTX-NJNX 24N020,MTRL/MTTX/TGB/CAN*NWRK/NJNX/WILTE/USA 24N0014,Provide,799187,"18788 - WILTEL COMMUNICATIONS, LLC",VTS,,PMORASAK,01-12-2015 09:47:43
98,MTTX-NJNX 24N015,MTRL/MTTX/TGB/CAN*NWRK/NJNX/WILTE/USA 24N0009,Provide,799187,"18788 - WILTEL COMMUNICATIONS, LLC",VTS,,PMORASAK,01-12-2015 09:46:37
99,L78X-L90X NP1/IT-DME,LNDN/L78X/TGBUK/GBR*LOSA/L90X/TGBUS/USA CEVLAN0001,Reroute,731031,18907 - IT GROUP (PLANNED OUTAGES),*N/A*,,PMANDAL,27-06-2014 15:22:13
100,C36X-IH4X BVID1100P,CHNI/C36X/SANCH/IND*SING/IH4X/VSNLS/SGP BVID0023,Provide,731031,18907 - IT GROUP (PLANNED OUTAGES),*N/A*,,PMANDAL,27-06-2014 15:29:10
101,F17X-FV0X 1G0001,FRKF/F17X/MSPFR/DEU*FRKF/FV0X/TGGEW/DEU 1G0001,Cancel,817180,18907 - IT GROUP (PLANNED OUTAGES),*N/A*,,PRATPAND,02-03-2016 08:47:44
102,P44X-W1UX NP4/IT-DME,MUMB/W1UX/SANCH/IND*PUNE/P44X/SANCH/IND CEVLAN0008,Reroute,731031,18907 - IT GROUP (PLANNED OUTAGES),*N/A*,,PMANDAL,27-06-2014 12:06:17
103,P44X-W1UX NP3/IT-DME,MUMB/W1UX/SANCH/IND*PUNE/P44X/SANCH/IND CEVLAN0007,Reroute,731031,18907 - IT GROUP (PLANNED OUTAGES),*N/A*,,PMANDAL,27-06-2014 12:06:08
104,HH1X-P44X NP2/IT-DME,HNKG/HH1X/THK/HKG*PUNE/P44X/SANCH/IND CEVLAN0002,Reroute,731031,18907 - IT GROUP (PLANNED OUTAGES),*N/A*,,PMANDAL,27-06-2014 12:01:34
105,NW8X-WV1X CEVLAN0031,NYKC/NW8X/TGBUS/USA*WALL/WV1X/TGBUS/USA CEVLAN0031,Provide,807012,18907 - IT GROUP (PLANNED OUTAGES),*N/A*,,AVIPATIL,18-12-2015 12:49:55
106,KV8X-W1UX NP2/IT-DME,KA1X/KV8X/VSNLJ/JPN*MUMB/W1UX/SANCH/IND CEVLAN0002,Reroute,731031,18907 - IT GROUP (PLANNED OUTAGES),*N/A*,,PMANDAL,27-06-2014 15:24:00
107,P44X-PJ0X NP2/IT-DME,PARS/PJ0X/TGFCE/FCE*PUNE/P44X/SANCH/IND CEVLAN0002,Reroute,731031,18907 - IT GROUP (PLANNED OUTAGES),*N/A*,,PMANDAL,27-06-2014 11:54:01
108,NJYX-W1UX NP2/IT-DME,MUMB/W1UX/SANCH/IND*NWRK/NJYX/TGBUS/USA CEVLAN0002,Reroute,731031,18907 - IT GROUP (PLANNED OUTAGES),*N/A*,,PMANDAL,27-06-2014 15:24:46
109,KV8X-P44X NP2/IT-DME,KA1X/KV8X/VSNLJ/JPN*PUNE/P44X/SANCH/IND CEVLAN0002,Reroute,731031,18907 - IT GROUP (PLANNED OUTAGES),*N/A*,,PMANDAL,27-06-2014 15:03:36
110,HH1X-MTTX NP1/IT-DME,HNKG/HH1X/THK/HKG*MTRL/MTTX/TGB/CAN CEVLAN0001,Reroute,731031,18907 - IT GROUP (PLANNED OUTAGES),*N/A*,,PMANDAL,27-06-2014 14:47:24
111,MTTX-P44X NP4/IT-DME,MTRL/MTTX/TGB/CAN*PUNE/P44X/SANCH/IND CEVLAN0008,Reroute,731031,18907 - IT GROUP (PLANNED OUTAGES),*N/A*,,PMANDAL,27-06-2014 14:59:29
