nccm_id,Scenario Type,Order Type,1,2,3,4,m6viznet_service_id,6,7,8,9,10,11,order_issued_date
NCCM_36547,CAESE,PINCNCCM,Ceased,,singh.amit,,1131250968,No,12-01-2015 13:43,No,,,,
NCCM_38588,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,manisha.sharma,ESOC,1167236587,No,09-03-2015 21:01,No,,ESOC,ESOC,15-05-2015 18:30
NCCM_57065,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,10212295316097,No,14-03-2016 09:47,No,,CM-IP-Enterprise,CM-IP-Enterprise,14-03-2016 09:49
NCCM_57066,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,1295316098,No,14-03-2016 09:50,No,,CM-IP-Enterprise,CM-IP-Enterprise,14-03-2016 09:51
NCCM_36522,NORMAL,BTNCCM,CLOSED,,sadvitot,Provisioning-Network,,No,12-01-2015 12:06,No,,,,
NCCM_36429,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_ScheduleDateForBulkMigration,prashanth.shet,IP-Field-Ops-Bangalore,,No,08-01-2015 14:39,No,,IP-Field-Ops-Bangalore,IP-Field-Ops-Bangalore,13-01-2015 00:00
NCCM_37781,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_ScheduleDateForBulkMigration,KKumari,SOC-IP,,No,16-02-2015 10:04,No,,SOC-IP,SOC-IP,19-02-2015 10:19
NCCM_51815,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_GetExistingCLRJeopardy,singh.amit,ESOC,2P300414,No,15-12-2015 12:46,No,,SD-CNOC,SD-CNOC,19-01-2016 18:28
NCCM_36431,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,omprakash.kore,Provisioning-Network,,No,08-01-2015 15:04,No,,Provisioning-Network,Provisioning-Network,03-02-2015 16:04
NCCM_38054,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_ScheduleDateForBulkMigration,KKumari,SOC-IP,,No,23-02-2015 11:43,No,,SOC-IP,SOC-IP,23-02-2015 17:19
NCCM_36962,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,SupriKat,Provisioning-Network,,No,26-01-2015 11:09,No,,CM-Transport,CM-Transport,26-01-2015 11:11
NCCM_38561,CEASE,BINCCM,Ceased,,KKumari,SOC-IP,,No,09-03-2015 10:20,No,,,,
NCCM_36751,NORMAL,PINCNCCM,IN PROGRESS,,singh.amit,,091GURG1143009103557,No,19-01-2015 13:13,No,,,,
NCCM_37519,NORMAL,PINCNCCM,CLOSED,,d.sharma,ESOC,091BENG1143006701889,No,09-02-2015 19:00,No,,,,
NCCM_37963,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,JKathare,Provisioning-Network,,No,20-02-2015 16:14,No,,CM-Transport,CM-Transport,20-02-2015 16:18
NCCM_57067,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,1295316099,No,14-03-2016 09:52,No,,CM-IP-Enterprise,CM-IP-Enterprise,14-03-2016 09:55
NCCM_38021,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,AFating,Provisioning-Network,,No,22-02-2015 10:28,No,,Provisioning-Network,Provisioning-Network,11-06-2015 12:28
NCCM_36529,NORMAL,PITGISNCCM,IN PROGRESS,NCCM_PITGIS_RaiseChangeRequest,singh.amit,PMG,091GURG030007433240,No,12-01-2015 12:39,No,,PMG,PMG,12-01-2015 12:40
NCCM_38022,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,nitin.dabhade,ESOC,22100172605,No,22-02-2015 13:11,No,,ESOC,ESOC,10-03-2015 18:31
NCCM_38761,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,manisha.sharma,ESOC,20128268872,No,16-03-2015 13:04,Yes,,Provisioning-Network,Provisioning-Network,30-09-2015 11:26
NCCM_42468,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,KJamdade,,2231301146,No,25-06-2015 12:22,No,,MAN Field Ops-New Delhi,MAN Field Ops-New Delhi,26-09-2015 06:32
NCCM_36532,NORMAL,PINCNCCM,IN PROGRESS,,singh.amit,,091GURG030007433240,No,12-01-2015 12:52,No,,,,
NCCM_38055,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_RaiseCR,singh.amit,,091MUMB623007437542,No,23-02-2015 13:12,Yes,,ESOC,ESOC,08-03-2015 17:51
NCCM_38565,NORMAL,PITGISNCCM,IN PROGRESS,NCCM_PITGIS_UpdateConcord,t.muraleekrishna,IP-Field-Ops-Chennai,4431208780,No,09-03-2015 10:53,No,,SOC-IP,SOC-IP,09-03-2015 11:37
NCCM_36722,NORMAL,PITGISNCCM,IN PROGRESS,NCCM_PITGIS_RaiseChangeRequest,ajini.paul,IP-Field-Ops-Ernakulam,091KOCH030003872572,No,19-01-2015 11:20,No,,IP-Field-Ops-Ernakulam,IP-Field-Ops-Ernakulam,19-01-2015 11:21
NCCM_36725,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_VerifyBulkMigrationTemplate,ashish.anturkar,IP-Field-Ops-Pune,,No,19-01-2015 11:41,No,,SOC-IP,SOC-IP,19-01-2015 11:45
NCCM_36726,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_VerifyBulkMigrationTemplate,jayaprasad.k,IP-Field-Ops-Hyderabad,,No,19-01-2015 11:45,No,,SOC-IP,SOC-IP,19-01-2015 11:47
NCCM_36727,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_VerifyBulkMigrationTemplate,jayaprasad.k,IP-Field-Ops-Hyderabad,,No,19-01-2015 11:48,No,,SOC-IP,SOC-IP,19-01-2015 11:59
NCCM_39521,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_ScheduleDateForBulkMigration,KKumari,SOC-IP,,No,13-04-2015 08:47,No,,SOC-IP,SOC-IP,13-04-2015 11:23
NCCM_36732,NORMAL,PITGISNCCM,IN PROGRESS,NCCM_PITGIS_TakeDowntimeAndSchedule,jayaprasad.k,IP-Field-Ops-Hyderabad,4031218488,No,19-01-2015 12:01,No,,IP-Field-Ops-Hyderabad,IP-Field-Ops-Hyderabad,19-01-2015 12:22
NCCM_38803,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_RaiseCR,psalokhe,ESOC,091MUMB1258007357103,No,18-03-2015 08:50,No,,ESOC,ESOC,18-03-2015 08:53
NCCM_36728,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,hemant.pawar,Provisioning-Network,,No,19-01-2015 11:56,No,,Provisioning-Network,Provisioning-Network,19-01-2015 13:24
NCCM_37463,CEASE,URINNCCM,Ceased,,snadre,ESOC,091CHEN515008176574,No,09-02-2015 04:41,No,,,,
NCCM_57068,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_UpdateCramerCLR,paresh.pawar,SOC-IP,,No,14-03-2016 09:54,No,,Provisioning-Network,Provisioning-Network,20-03-2016 12:53
NCCM_38808,CEASE,PINCNCCM,Ceased,,psalokhe,ESOC,091MUMB1258007357103,No,18-03-2015 09:27,No,,,,
NCCM_37782,CEASE,URINNCCM,Ceasing,UndoNCCM_UR_IN_ValidateOrder,psalokhe,ESOC,091MUMB1143010183338,No,16-02-2015 10:08,No,,ESOC,ESOC,16-02-2015 12:59
NCCM_38289,NORMAL,URINNCCM,IN PROGRESS,NCCM_UR_IN_ReviewCR,snadre,ESOC,20183267786,No,02-03-2015 11:53,No,,ESOC,ESOC,08-06-2015 18:09
NCCM_57070,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_UpdateCramerCLR,paresh.pawar,SOC-IP,,No,14-03-2016 09:58,No,,Provisioning-Network,Provisioning-Network,14-03-2016 17:38
NCCM_37464,NORMAL,URINNCCM,CLOSED,,snadre,ESOC,091CHEN515008176574,No,09-02-2015 04:48,No,,,,
NCCM_37467,NORMAL,BINCCM,CLOSED,,KKumari,SOC-IP,,No,09-02-2015 10:20,No,,,,
NCCM_38290,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_ScheduleDateForBulkMigration,KKumari,SOC-IP,,No,02-03-2015 12:39,No,,SOC-IP,SOC-IP,09-03-2015 15:03
NCCM_38810,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,AFating,Provisioning-Network,,No,18-03-2015 11:28,No,,Provisioning-Network,Provisioning-Network,02-04-2015 19:11
NCCM_51402,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ScheduleImplementation,paresh.pawar,SOC-IP,091BENG030003433461,No,08-12-2015 15:30,No,,SOC-IP,SOC-IP,08-12-2015 18:16
